Wavelength,Flux,BestFit,SkyFlux
3791.403,0.718,4.538,38.992
3792.277,7.822,4.707,35.843
3793.150,17.925,4.551,33.337
3794.022,14.260,4.409,33.546
3794.897,6.796,4.515,33.300
3795.770,6.495,4.635,32.518
3796.646,4.394,4.663,32.250
3797.519,1.762,4.921,32.146
3798.395,1.005,4.758,32.386
3799.269,0.741,4.696,33.029
3800.143,1.339,4.755,33.656
3801.019,5.103,4.643,34.557
3801.893,8.508,4.732,35.441
3802.770,8.575,4.643,36.532
3803.645,9.762,4.915,37.655
3804.522,13.687,4.753,38.257
3805.397,10.740,4.461,39.162
3806.273,10.523,4.769,40.118
3807.150,6.850,4.892,40.888
3808.026,-2.168,4.792,41.269
3808.904,1.643,4.941,41.496
3809.780,3.973,5.060,41.633
3810.659,4.713,4.896,41.264
3811.536,11.245,4.620,40.634
3812.412,2.338,4.623,39.765
3813.292,1.491,4.637,38.121
3814.169,4.713,4.316,35.392
3815.048,5.608,4.286,31.812
3815.926,6.527,4.576,29.293
3816.806,5.674,4.716,28.857
3817.684,8.756,4.702,30.637
3818.562,9.769,4.545,32.838
3819.443,5.693,4.858,31.559
3820.322,9.740,5.022,27.420
3821.202,8.058,4.898,25.270
3822.082,5.590,4.787,26.180
3822.963,5.955,4.548,28.699
3823.842,7.082,4.585,30.247
3824.724,7.249,4.481,28.563
3825.604,5.036,4.720,24.990
3826.484,6.399,4.816,21.574
3827.366,7.021,4.328,20.034
3828.247,8.787,4.570,20.577
3829.130,9.757,4.788,22.563
3830.011,13.788,5.170,24.755
3830.894,12.797,5.093,26.229
3831.775,11.256,4.681,26.096
3832.657,12.814,4.621,24.893
3833.540,3.184,4.800,23.433
3834.422,11.048,4.465,22.895
3835.307,2.274,4.770,23.430
3836.189,8.399,5.120,24.333
3837.073,8.030,5.026,24.687
3837.956,5.767,4.833,24.348
3838.839,3.883,5.041,22.901
3839.724,5.904,5.040,21.098
3840.608,8.731,4.745,20.833
3841.493,4.103,5.039,23.136
3842.377,7.082,5.531,27.461
3843.263,7.138,5.274,30.923
3844.147,8.725,4.809,33.352
3845.032,9.143,4.788,34.869
3845.918,11.045,4.968,35.519
3846.803,7.015,5.290,36.035
3847.690,1.954,5.178,36.149
3848.575,4.159,4.581,35.127
3849.463,7.634,4.857,33.071
3850.348,4.699,4.467,31.992
3851.234,6.783,4.647,31.872
3852.122,3.833,5.078,32.794
3853.008,1.683,5.142,34.102
3853.897,4.959,4.885,33.949
3854.783,6.319,4.919,32.429
3855.672,6.794,5.079,30.398
3856.559,6.163,5.479,29.084
3857.446,3.844,5.272,29.293
3858.336,8.881,4.910,28.983
3859.223,10.101,5.327,26.355
3860.113,6.059,5.622,23.043
3861.001,1.715,4.814,22.185
3861.892,17.517,4.529,24.880
3862.780,11.767,4.847,30.155
3863.669,4.563,5.109,34.581
3864.560,7.619,4.912,35.337
3865.449,6.475,4.634,33.736
3866.340,7.492,4.975,32.626
3867.230,4.550,5.370,32.448
3868.121,6.426,5.503,32.295
3869.011,6.751,5.331,32.333
3869.901,12.064,5.117,31.118
3870.794,7.344,5.337,28.500
3871.684,4.008,5.519,25.186
3872.577,7.689,5.532,23.200
3873.468,11.616,5.609,24.239
3874.361,11.108,5.752,28.365
3875.252,7.473,5.532,33.567
3876.144,11.195,4.698,36.662
3877.038,9.922,4.986,35.886
3877.930,5.922,5.402,32.538
3878.824,-0.354,5.598,30.095
3879.716,3.753,5.451,29.551
3880.611,9.389,5.086,29.868
3881.504,7.512,5.163,29.645
3882.396,6.166,5.303,28.352
3883.292,10.732,5.162,26.838
3884.185,10.455,5.538,27.782
3885.081,9.205,5.688,30.612
3885.975,4.234,4.903,31.352
3886.871,9.642,5.172,29.218
3887.765,6.306,5.454,27.511
3888.659,3.425,5.437,27.169
3889.556,4.742,5.314,27.142
3890.451,5.255,5.332,27.383
3891.348,8.153,5.624,30.264
3892.243,11.509,5.968,35.102
3893.141,9.173,5.339,38.448
3894.036,7.669,5.780,38.229
3894.934,7.372,6.163,37.020
3895.830,10.163,5.764,36.478
3896.726,8.138,5.425,37.322
3897.625,5.535,5.868,38.543
3898.522,7.139,5.724,39.301
3899.421,9.080,5.873,38.882
3900.318,8.265,6.148,38.103
3901.217,6.326,6.029,38.217
3902.115,7.717,5.819,38.198
3903.012,9.200,6.499,37.065
3903.912,9.924,5.875,36.190
3904.810,5.239,6.093,36.526
3905.711,3.296,6.321,36.253
3906.609,6.073,5.878,35.205
3907.510,7.247,5.536,36.278
3908.409,5.963,6.081,41.552
3909.308,6.009,5.884,44.730
3910.210,3.966,6.143,43.865
3911.109,3.339,5.874,43.414
3912.011,7.644,5.537,44.194
3912.911,9.109,6.136,44.924
3913.813,9.241,6.058,45.600
3914.714,6.761,5.492,46.039
3915.614,5.744,5.539,44.443
3916.517,8.445,5.748,42.163
3917.418,5.357,5.674,40.899
3918.322,4.207,5.512,39.893
3919.223,6.824,5.590,38.736
3920.127,7.171,5.439,37.142
3921.029,5.284,5.594,34.938
3921.931,4.104,5.863,33.161
3922.835,3.986,5.741,32.955
3923.737,5.222,5.392,34.310
3924.642,8.090,5.901,35.350
3925.545,9.234,6.228,34.617
3926.450,5.431,6.053,32.887
3927.354,4.204,5.702,30.423
3928.257,4.790,5.720,26.983
3929.163,6.298,6.064,23.727
3930.067,6.902,5.882,20.620
3930.973,7.867,6.374,18.054
3931.877,6.447,5.883,16.214
3932.784,5.171,5.727,14.617
3933.689,5.987,6.136,13.097
3934.594,6.169,6.080,11.934
3935.501,9.260,5.922,12.154
3936.406,4.429,6.015,13.851
3937.314,5.500,6.223,16.381
3938.220,7.032,5.733,19.352
3939.128,9.127,5.344,22.338
3940.034,7.750,5.881,25.254
3940.941,5.977,5.629,28.021
3941.849,6.256,5.841,30.281
3942.756,5.728,5.658,31.706
3943.665,6.438,5.904,31.071
3944.573,8.712,6.179,28.678
3945.482,7.360,5.723,29.122
3946.390,8.006,5.971,32.703
3947.298,6.975,6.026,36.188
3948.208,6.809,5.855,37.528
3949.116,5.502,5.786,36.850
3950.027,3.470,5.951,37.258
3950.936,3.728,6.105,40.025
3951.847,3.507,5.928,42.416
3952.756,1.540,6.100,41.862
3953.665,2.333,5.897,40.126
3954.577,9.583,5.699,39.805
3955.487,7.349,5.741,40.615
3956.399,6.945,5.743,39.969
3957.309,6.819,5.554,37.982
3958.221,6.626,5.560,36.561
3959.132,7.962,5.360,37.255
3960.045,6.553,5.537,38.394
3960.956,2.377,5.992,36.915
3961.867,7.465,6.054,31.990
3962.781,4.602,5.791,26.381
3963.692,5.525,5.346,23.839
3964.606,5.976,5.745,23.855
3965.518,6.380,6.053,22.989
3966.433,4.807,5.860,20.177
3967.345,5.573,5.725,16.515
3968.258,6.686,5.851,13.593
3969.173,4.670,5.898,12.214
3970.086,6.130,6.073,11.980
3971.002,6.354,6.402,13.234
3971.915,4.850,6.314,16.120
3972.831,3.998,5.636,20.110
3973.745,5.085,5.620,24.175
3974.659,4.535,5.870,27.325
3975.576,7.720,5.674,29.377
3976.490,9.193,5.626,30.910
3977.407,4.632,5.871,33.031
3978.322,4.597,5.893,35.409
3979.240,8.282,5.625,37.873
3980.155,4.031,5.712,39.836
3981.071,9.996,5.981,40.963
3981.989,6.590,6.002,42.018
3982.905,7.472,5.717,41.492
3983.823,3.604,5.605,40.091
3984.740,3.432,6.119,39.618
3985.659,6.543,5.997,40.310
3986.576,6.008,6.087,40.851
3987.493,6.143,6.339,41.450
3988.412,3.213,6.361,42.592
3989.330,9.669,6.284,43.933
3990.250,3.416,6.756,43.865
3991.168,3.521,6.613,43.560
3992.088,4.621,5.877,44.704
3993.006,7.204,5.863,45.755
3993.925,10.030,6.252,45.397
3994.846,8.222,6.039,44.292
3995.765,6.219,6.221,43.056
3996.686,9.746,6.380,41.778
3997.606,5.423,6.158,41.518
3998.528,4.818,5.840,42.125
3999.447,2.318,5.793,43.103
4000.368,10.360,6.006,45.460
4001.290,7.379,6.027,47.150
4002.211,6.896,5.970,47.090
4003.133,6.487,6.200,47.449
4004.054,3.918,6.308,47.815
4004.978,5.581,6.288,46.077
4005.899,4.605,6.246,41.443
4006.821,9.130,5.685,37.971
4007.745,9.066,6.128,40.683
4008.666,9.383,5.996,45.114
4009.591,6.641,5.838,47.124
4010.513,6.932,6.188,46.914
4011.438,6.565,6.442,47.103
4012.361,7.176,5.841,47.613
4013.284,8.938,5.703,47.440
4014.209,7.002,5.734,46.940
4015.133,4.012,5.905,47.311
4016.059,2.559,5.983,48.137
4016.983,1.919,5.879,46.859
4017.909,4.227,6.260,45.211
4018.833,6.293,6.311,45.503
4019.758,7.462,6.499,47.269
4020.685,7.605,6.595,48.778
4021.610,6.006,6.349,48.928
4022.537,5.807,6.030,48.041
4023.462,7.704,6.196,47.827
4024.390,6.246,6.275,48.257
4025.316,7.361,6.576,47.161
4026.242,4.817,6.753,46.905
4027.171,8.716,6.602,48.067
4028.097,5.768,6.418,49.088
4029.026,6.730,6.611,49.049
4029.953,7.828,6.865,48.287
4030.882,6.160,6.537,45.544
4031.809,6.502,6.035,42.235
4032.739,7.413,6.314,40.655
4033.667,4.266,7.271,39.072
4034.595,8.519,6.833,38.994
4035.525,3.163,6.166,41.165
4036.453,7.814,6.770,43.127
4037.384,12.193,6.865,46.298
4038.313,3.914,6.429,49.528
4039.244,2.563,6.793,50.479
4040.173,6.004,6.793,49.168
4041.103,4.314,6.513,48.005
4042.035,4.960,6.734,46.533
4042.965,5.732,6.807,46.461
4043.897,3.737,6.505,48.650
4044.827,5.988,6.301,44.948
4045.760,5.937,6.337,40.922
4046.691,9.272,6.696,43.394
4047.622,7.331,6.772,50.123
4048.555,9.152,6.954,54.658
